loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
67.34428405761719,67.84256744384766,78.71923065185547,47.97978210449219,48.477752685546875,58.21747589111328,0.0010000000474974513
35.96049499511719,36.45736312866211,45.66789627075195,19.14644432067871,19.641164779663086,24.471176147460938,0.0010000000474974513
19.55064582824707,20.044647216796875,25.71428108215332,14.111618995666504,14.605607986450195,18.425601959228516,0.0010000000474974513
17.613298416137695,18.106494903564453,23.56702423095703,12.594342231750488,13.087749481201172,16.663421630859375,0.0010000000474974513
16.7266788482666,17.219600677490234,22.64201545715332,11.852827072143555,12.346419334411621,15.745352745056152,0.0010000000474974513
16.256004333496094,16.748823165893555,22.088354110717773,11.353856086730957,11.846646308898926,15.224143028259277,0.0010000000474974513
15.881021499633789,16.373157501220703,21.549793243408203,11.15335750579834,11.646129608154297,14.939971923828125,0.0010000000474974513
15.431013107299805,15.922775268554688,21.205909729003906,10.47680377960205,10.96711540222168,14.519346237182617,0.0010000000474974513
15.223020553588867,15.714899063110352,20.837953567504883,10.678442001342773,11.168298721313477,14.535070419311523,0.0010000000474974513
14.993614196777344,15.485725402832031,20.725696563720703,9.569493293762207,10.057485580444336,13.246936798095703,0.0010000000474974513
14.68421745300293,15.17528247833252,20.216995239257812,10.065499305725098,10.555814743041992,14.13899040222168,0.0010000000474974513
14.814349174499512,15.30614185333252,20.38143539428711,9.904460906982422,10.392577171325684,14.305685997009277,0.0010000000474974513
14.63701343536377,15.127673149108887,20.2525691986084,9.476506233215332,9.965397834777832,13.439502716064453,0.0010000000474974513
14.566036224365234,15.056134223937988,20.16071319580078,9.56607723236084,10.054865837097168,13.424304962158203,0.0010000000474974513
14.37592887878418,14.866365432739258,19.889400482177734,9.600990295410156,10.087023735046387,13.658400535583496,0.0010000000474974513
14.354766845703125,14.846125602722168,19.78500747680664,9.636834144592285,10.127778053283691,13.890265464782715,0.0010000000474974513
14.262969017028809,14.753952026367188,19.68797492980957,9.83910083770752,10.328728675842285,14.085966110229492,0.0010000000474974513
14.165046691894531,14.65576457977295,19.611169815063477,9.897364616394043,10.389491081237793,13.978751182556152,0.0010000000474974513
13.874844551086426,14.364723205566406,19.356048583984375,9.898001670837402,10.388649940490723,13.531861305236816,0.0005000000237487257
13.823039054870605,14.313604354858398,19.30934715270996,9.50251579284668,9.991846084594727,13.55992317199707,0.0005000000237487257
13.632451057434082,14.122232437133789,19.025495529174805,9.832612991333008,10.323835372924805,13.582868576049805,0.0005000000237487257
13.576123237609863,14.065893173217773,19.033023834228516,10.040314674377441,10.532630920410156,13.515066146850586,0.0005000000237487257
13.343629837036133,13.83361530303955,18.673336029052734,9.980857849121094,10.47262954711914,13.536033630371094,0.0005000000237487257
13.540143966674805,14.029236793518066,18.97246742248535,9.495407104492188,9.985431671142578,13.428719520568848,0.0002500000118743628
13.197847366333008,13.688232421875,18.513547897338867,9.497879981994629,9.986405372619629,13.490981101989746,0.0002500000118743628
