unit,feature,actual_rul,original_prediction,occluded_prediction,signed_effect_on_prediction,absolute_effect_on_prediction
79,sensor_14,63.0,112.40411376953125,79.36975860595703,33.03435516357422,33.03435516357422
79,sensor_9,63.0,112.40411376953125,89.01262664794922,23.39148712158203,23.39148712158203
79,sensor_13,63.0,112.40411376953125,116.61605834960938,-4.211944580078125,4.211944580078125
79,sensor_11,63.0,112.40411376953125,116.45259857177734,-4.048484802246094,4.048484802246094
79,sensor_20,63.0,112.40411376953125,116.3345718383789,-3.9304580688476562,3.9304580688476562
79,sensor_15,63.0,112.40411376953125,115.42539978027344,-3.0212860107421875,3.0212860107421875
79,sensor_2,63.0,112.40411376953125,115.41624450683594,-3.0121307373046875,3.0121307373046875
79,sensor_12,63.0,112.40411376953125,114.99237823486328,-2.5882644653320312,2.5882644653320312
79,sensor_3,63.0,112.40411376953125,114.72270965576172,-2.3185958862304688,2.3185958862304688
79,sensor_4,63.0,112.40411376953125,114.64485931396484,-2.2407455444335938,2.2407455444335938
79,sensor_6,63.0,112.40411376953125,110.38304138183594,2.0210723876953125,2.0210723876953125
79,sensor_8,63.0,112.40411376953125,114.40210723876953,-1.9979934692382812,1.9979934692382812
79,sensor_7,63.0,112.40411376953125,111.0387191772461,1.3653945922851562,1.3653945922851562
79,sensor_21,63.0,112.40411376953125,113.22210693359375,-0.8179931640625,0.8179931640625
79,sensor_17,63.0,112.40411376953125,112.98761749267578,-0.5835037231445312,0.5835037231445312
79,op_setting_1,63.0,112.40411376953125,112.70574951171875,-0.3016357421875,0.3016357421875
79,op_setting_2,63.0,112.40411376953125,112.58568572998047,-0.18157196044921875,0.18157196044921875
79,sensor_5,63.0,112.40411376953125,112.40411376953125,0.0,0.0
79,op_setting_3,63.0,112.40411376953125,112.40411376953125,0.0,0.0
79,sensor_1,63.0,112.40411376953125,112.40411376953125,0.0,0.0
79,sensor_10,63.0,112.40411376953125,112.40411376953125,0.0,0.0
79,sensor_16,63.0,112.40411376953125,112.40411376953125,0.0,0.0
79,sensor_19,63.0,112.40411376953125,112.40411376953125,0.0,0.0
79,sensor_18,63.0,112.40411376953125,112.40411376953125,0.0,0.0
