unit,actual_rul,predicted_rul_mean,predicted_rul_median,mc_standard_deviation,raw_percentile_05,raw_percentile_95,calibrated_lower_bound,calibrated_upper_bound,interval_width,prediction_error,absolute_error,confidence,health_status,recommendation,actual_inside_interval,ridge_prediction,final_predicted_rul,recent_slope,recent_predicted_drop,recent_decline_ratio,recent_prediction_range,recent_prediction_std,recent_residual_std,monotonicity_violation_rate,large_jump_count,largest_single_cycle_jump,trajectory_flag,model_disagreement,disagreement_level,mc_deterministic_gap,mc_gap_level,conservative_rul,engine_condition,prediction_trust,trajectory_trust,condition_severity_score,reliability_risk_score,reliability_risk,review_flag,operational_priority_score,operational_priority,operational_action,condition_priority,review_priority,operational_priority_order
77,34.0,23.746543884277344,22.95262336730957,6.144603252410889,15.17125415802002,33.82549285888672,13.940442085266112,33.55264663696289,19.612205505371094,-10.253456115722656,10.253456115722656,Medium,Warning,Immediate inspection recommended,False,49.477493,22.139747619628903,-2.864669926005202,60.79936981201172,3.199966832211143,75.23448181152344,19.533097625671072,10.425032590074837,0.2105263157894736,2,37.54998016357422,Unstable trajectory,25.73094911572266,High,1.606796264648441,Low,13.940442085266112,Critical,Low,Low,88.84764633178712,75.53559875488281,High,Required,84.85403205871582,Immediate,Manual engineering review is required before the predicted RUL is used for an operational or maintenance decision. Inspect immediately and restrict continued operation until the physical engine condition is verified. The predicted RUL contains large jumps or excessive oscillations and should not be used without review.,1,1,1
56,15.0,14.938157081604004,13.706296920776367,7.908380031585693,5.899200439453125,30.30414581298828,2.711237907409668,27.165077209472656,24.453838348388672,-0.061842918395996,0.061842918395996,Medium,Critical,Immediate inspection recommended,True,36.253708,18.5566520690918,-0.6894061296506038,12.269941329956056,0.6457863857871607,12.804309844970703,4.171173717403848,1.263171878671492,0.1578947368421052,0,3.5307159423828125,Consistent degradation,21.315550918396,High,3.6184949874877965,Low,2.711237907409668,Critical,Low,High,97.83100967407226,42.87635437647502,Medium,Required,81.34461308479308,Immediate,Manual engineering review is required before the predicted RUL is used for an operational or maintenance decision. Inspect immediately and restrict continued operation until the physical engine condition is verified. The recent RUL trajectory shows a broadly consistent degradation pattern.,1,1,1
91,38.0,25.529003143310547,24.59692001342773,7.821691036224365,14.886222839355469,37.5151481628418,13.421066284179688,37.636940002441406,24.21587371826172,-12.470996856689451,12.470996856689451,Medium,Warning,Immediate inspection recommended,False,52.089314,27.78470993041992,-1.0940663703402127,15.933555603027344,0.8386081896330181,19.032962799072266,6.651816640020158,2.108800359768764,0.1578947368421052,0,4.359828948974609,Consistent degradation,26.560310856689455,High,2.2557067871093714,Low,13.421066284179688,Critical,Low,High,89.26314697265624,42.332854906717934,Medium,Required,75.18405935287474,Immediate,Manual engineering review is required before the predicted RUL is used for an operational or maintenance decision. Inspect immediately and restrict continued operation until the physical engine condition is verified. The recent RUL trajectory shows a broadly consistent degradation pattern.,1,1,1
42,10.0,11.815329551696776,11.058300018310549,4.19409704208374,6.937854290008545,20.453481674194336,4.686333656311035,18.944324493408203,14.257990837097168,1.8153295516967771,1.8153295516967771,High,Critical,Immediate inspection recommended,True,0.0,9.888833999633787,-1.2682413595959634,23.110960006713867,1.216366316142835,23.110960006713867,7.420572277815763,1.2587259707641716,0.0,0,3.394655227661133,Consistent degradation,11.815329551696776,Medium,1.9264955520629883,Low,0.0,Critical,Medium,High,100.0,20.642165184020996,Low,Recommended,76.1926495552063,Immediate,Engineering review is recommended before making a high-consequence decision. Inspect immediately and restrict continued operation until the physical engine condition is verified. The recent RUL trajectory shows a broadly consistent degradation pattern.,1,2,1
76,10.0,10.2434720993042,9.69295883178711,4.302578449249268,4.843935966491699,19.003498077392575,2.9655838012695312,17.521360397338867,14.555776596069336,0.2434720993041992,0.2434720993041992,High,Critical,Immediate inspection recommended,True,0.0,9.06316089630127,-0.9144751125708548,18.468974113464355,0.972051269129703,18.468974113464355,5.337366248573073,0.8256368140110387,0.0,0,2.363801956176758,Consistent degradation,10.2434720993042,Medium,1.1803112030029297,Low,0.0,Critical,Medium,High,100.0,20.393437067667644,Low,Recommended,76.11803112030029,Immediate,Engineering review is recommended before making a high-consequence decision. Inspect immediately and restrict continued operation until the physical engine condition is verified. The recent RUL trajectory shows a broadly consistent degradation pattern.,1,2,1
82,9.0,10.554387092590332,10.058639526367188,3.656017303466797,5.722144603729248,17.853897094726562,4.163916110992432,16.94485855102539,12.780942916870115,1.554387092590332,1.554387092590332,High,Critical,Immediate inspection recommended,True,0.0,9.590707778930664,-1.0133722893277517,19.919944763183597,1.0484181454307155,19.919944763183597,5.921940904465274,0.961343400212208,0.0526315789473684,0,2.8365631103515625,Consistent degradation,10.554387092590332,Medium,0.963679313659668,Low,0.0,Critical,Medium,High,100.0,20.321226437886555,Low,Recommended,76.09636793136596,Immediate,Engineering review is recommended before making a high-consequence decision. Inspect immediately and restrict continued operation until the physical engine condition is verified. The recent RUL trajectory shows a broadly consistent degradation pattern.,1,2,1
31,8.0,10.963146209716797,10.179893493652344,5.578018665313721,4.038243293762207,21.62645530700684,1.9346923828125,19.991600036621094,18.056907653808597,2.963146209716797,2.963146209716797,Medium,Critical,Immediate inspection recommended,True,0.0,10.016475677490234,-0.5127864249666831,16.07070541381836,0.8458266007272821,16.07070541381836,3.765227913153825,2.331063378973531,0.1052631578947368,0,3.321761131286621,Consistent degradation,10.963146209716797,Medium,0.9466705322265625,Low,0.0,Critical,Medium,High,100.0,20.31555684407552,Low,Recommended,76.09466705322265,Immediate,Engineering review is recommended before making a high-consequence decision. Inspect immediately and restrict continued operation until the physical engine condition is verified. The recent RUL trajectory shows a broadly consistent degradation pattern.,1,2,1
24,20.0,22.834665298461918,23.11785888671875,6.048800468444824,12.728530883789062,32.19248580932617,13.160054206848145,32.50927734375,19.34922409057617,2.834665298461914,2.834665298461914,Medium,Warning,Immediate inspection recommended,True,33.954086,24.347787857055664,-1.4672856882998813,30.48243522644043,1.6043386961284436,30.48243522644043,8.811577593366353,2.4615172668874075,0.0526315789473684,0,5.926856994628906,Rapid degradation signal,11.119420701538079,Medium,1.5131225585937464,Low,13.160054206848145,Critical,Medium,Medium,89.47195663452149,37.004374186197914,Medium,Recommended,73.73168190002441,Immediate,Engineering review is recommended before making a high-consequence decision. Inspect immediately and restrict continued operation until the physical engine condition is verified. The predicted RUL is declining rapidly and should be checked against recent sensor trends.,1,2,1
92,20.0,19.660903930664062,18.77548599243164,7.717895030975342,9.07859230041504,30.830591201782227,7.695428848266602,31.626379013061523,23.93095016479492,-0.3390960693359375,0.3390960693359375,Medium,Critical,Immediate inspection recommended,True,36.546227,21.210155487060547,-0.9801847701682176,26.45682144165039,1.3924642864026522,26.45682144165039,6.7654539563524345,3.718336271574496,0.2631578947368421,0,6.866436004638672,Consistent degradation,16.88532306933594,Medium,1.5492515563964844,Low,7.695428848266602,Critical,Medium,High,93.84365692138672,21.99052349726359,Low,Recommended,72.28771689414978,Immediate,Engineering review is recommended before making a high-consequence decision. Inspect immediately and restrict continued operation until the physical engine condition is verified. The recent RUL trajectory shows a broadly consistent degradation pattern.,1,2,1
20,16.0,18.57808303833008,18.19236946105957,4.494678974151611,9.885727882385254,26.476192474365234,11.03653335571289,26.119632720947266,15.083099365234377,2.578083038330078,2.578083038330078,High,Critical,Immediate inspection recommended,True,8.115906,17.964183807373047,-0.7080707965936887,15.631786346435549,0.8227255971808183,17.039539337158203,4.672208473578748,2.271380771403774,0.1578947368421052,0,3.476316452026367,Consistent degradation,10.462177038330081,Medium,0.6138992309570348,Low,8.115906,Critical,Medium,High,93.5072752,20.20463307698568,Low,Recommended,71.51648256309569,Immediate,Engineering review is recommended before making a high-consequence decision. Inspect immediately and restrict continued operation until the physical engine condition is verified. The recent RUL trajectory shows a broadly consistent degradation pattern.,1,2,1
