unit,feature,initial_mean_scaled,final_mean_scaled,total_change_scaled,linear_slope_scaled,final_window_mean_scaled,final_window_max_abs_scaled,diagnostic_score
45,sensor_3,-0.37853747027936113,0.7222455653391787,1.10078303561854,0.00408701801680238,0.4467502958628727,1.659005720613268,2.1326741863090164
45,sensor_20,0.18836905438579404,-0.6742431689073493,-0.8626122232931432,-0.0028508710418050907,-0.22081879512505773,1.4152049504540085,1.646894988219214
45,sensor_12,0.207256306454984,-0.44783474733074957,-0.6550910537857335,-0.00395399234240551,-0.22766640418511738,1.2193262776156204,1.5569754668928706
45,sensor_13,-0.23098857506689202,0.4962753526678494,0.7272639277347415,0.0034097420522772176,0.19791066436609087,1.167595901342354,1.5340339529641898
45,sensor_17,-0.13508504562196122,0.639818195571557,0.7749032411935182,0.0030209181571142704,0.10169094474272493,1.156420356367236,1.520166972009582
45,sensor_2,-0.0748223235565322,0.40909895311213684,0.483921276668669,0.0037151809949485114,0.22846167215180005,1.756879698874861,1.4841335316246094
45,sensor_7,0.051465401649222975,-0.42376212971029614,-0.4752275313595191,-0.003876529771965209,-0.308145953044639,1.6062003001545386,1.4621336019649003
45,sensor_4,0.12815356126389124,0.41318745902785003,0.2850338977639588,0.003990295967283611,0.24552700472250732,1.0597983153136161,1.152518167652188
45,sensor_11,-0.1693586764377814,0.2946508584581143,0.4640095348958957,0.0025514883230567226,0.1661751001401637,1.1927338292243543,1.1474677289835493
45,op_setting_2,-0.35622512566237896,-0.6297923266916853,-0.2735672010293063,0.0026870561015951877,-0.07125929125685149,1.7240611308089107,1.1103279550724072
45,sensor_8,-0.2103401021892589,0.1582074672728321,0.368547569462091,0.002756869594709936,0.1912822491463955,0.9474352411108625,1.021693688541007
45,sensor_15,0.41791395668607184,0.7145129873425552,0.29659903065648335,0.0022342034217904725,0.2670360924702363,1.528559967165922,1.0161037391383252
45,sensor_21,-0.012449669966587864,-0.2733207922152928,-0.26087112224870496,-0.0024095502714379484,-0.1910682872629992,1.4398682043911,0.9846802643336101
45,op_setting_1,0.046242675149076914,0.1102869753670395,0.06404430021796259,-0.0001729709406726187,-0.033050267977924305,2.0224667961604927,0.5957796112996512
45,sensor_14,0.021389699175860512,-0.22254076551574534,-0.24393046469160584,-0.00031116571102196496,-0.15134839007407114,0.44947336072204375,0.4032848272364335
45,sensor_9,-0.21616238934499177,-0.15606906590938316,0.06009332343560861,0.00041643967837708124,-0.14190149440320304,0.49533010707740593,0.24680824163989934
45,sensor_6,0.14185918100972691,0.14185918100972691,0.0,5.822637848739892e-19,0.1418591810097269,0.14185918100972691,0.03546479525243182
45,sensor_5,-3.552713678800501e-15,-3.552713678800501e-15,0.0,-7.141014002697161e-33,-3.552713678800501e-15,3.552713678800501e-15,8.881784197001262e-16
45,sensor_16,-6.938893903907228e-18,-6.938893903907228e-18,0.0,-1.3947292974017893e-35,-6.938893903907228e-18,6.938893903907228e-18,1.734723475976809e-18
45,sensor_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,op_setting_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,sensor_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,sensor_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,sensor_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
